/Users/yingxi/opt/anaconda3/envs/udell/lib/python3.9/site-packages/numpy/lib/function_base.py:518: RuntimeWarning: Mean of empty slice.
  avg = a.mean(axis, **keepdims_kw)
Finished iteration 7400, profit = 9000.435760271008
Finished iteration 7500, profit = 9007.795081506452
Finished iteration 7600, profit = 9013.417917285518
Finished iteration 7700, profit = 9024.689166898403
Finished iteration 7800, profit = 9029.244720481978
Finished iteration 7900, profit = 9029.244720481978
Finished iteration 8000, profit = 9032.497658031774
Finished iteration 8100, profit = 9034.71590487493
Finished iteration 8200, profit = 9045.606356008844
Finished iteration 8300, profit = 9046.786609979561
Finished iteration 8400, profit = 9048.982696028135
Finished iteration 8500, profit = 9055.722686505653
Finished iteration 8600, profit = 9065.072127221583
Finished iteration 8700, profit = 9074.522226513276
Finished iteration 8800, profit = 9083.297901844211
Finished iteration 8900, profit = 9086.79432249939
Finished iteration 9000, profit = 9094.591189579074
Finished iteration 9100, profit = 9104.02847601247
Finished iteration 9200, profit = 9111.662275355538
Finished iteration 9300, profit = 9117.030425566725
Finished iteration 9400, profit = 9123.700814402655
Finished iteration 9500, profit = 9123.700814402655
Finished iteration 9600, profit = 9127.497205755144
Finished iteration 9700, profit = 9127.497205755144
Finished iteration 9800, profit = 9128.728440974453
Finished iteration 9900, profit = 9131.834167251514
Finished iteration 0, profit = 5.259910519516357
Finished iteration 100, profit = 346.2105491514044
Finished iteration 200, profit = 694.3083418122379
Finished iteration 300, profit = 1026.089427611044
Finished iteration 400, profit = 1329.5727387134762
Finished iteration 500, profit = 1647.5025436019225
Finished iteration 600, profit = 1955.0775015711306
Finished iteration 700, profit = 2233.134251001378
Finished iteration 800, profit = 2560.178618699673
Finished iteration 900, profit = 2864.402561333358
Finished iteration 1000, profit = 3211.9076043330947
Finished iteration 1100, profit = 3537.961195179494
Finished iteration 1200, profit = 3868.5712025157527
Finished iteration 1300, profit = 4198.159712409051
Finished iteration 1400, profit = 4495.400305944875
Finished iteration 1500, profit = 4791.581961285769
Finished iteration 1600, profit = 5084.568618514006
Finished iteration 1700, profit = 5416.726442134868
Finished iteration 1800, profit = 5787.050268180159
Finished iteration 1900, profit = 6102.106605171748
Finished iteration 2000, profit = 6393.108769609187
Finished iteration 2100, profit = 6738.830411674135
Finished iteration 2200, profit = 7094.9439668768755
Finished iteration 2300, profit = 7394.086092107742
Finished iteration 2400, profit = 7661.336145817523
Finished iteration 2500, profit = 7993.047951871595
Finished iteration 2600, profit = 8290.78282034027
Finished iteration 2700, profit = 8558.868576740333
Finished iteration 2800, profit = 8805.262931075573
Finished iteration 2900, profit = 8936.204165089042
Finished iteration 3000, profit = 9005.250924968148
Finished iteration 3100, profit = 9026.880179003536
Finished iteration 3200, profit = 9054.880233856253
Finished iteration 3300, profit = 9062.101419038187
Finished iteration 3400, profit = 9084.859341356667
Finished iteration 3500, profit = 9088.852016705358
Finished iteration 3600, profit = 9105.771566459978
Finished iteration 3700, profit = 9125.998072030776
Finished iteration 3800, profit = 9132.799649897916
Finished iteration 3900, profit = 9145.657540571006
Finished iteration 4000, profit = 9164.663172803099
Finished iteration 4100, profit = 9172.579602174948
Finished iteration 4200, profit = 9187.466751848166
Finished iteration 4300, profit = 9187.466751848166
Finished iteration 4400, profit = 9211.150949535062
Finished iteration 4500, profit = 9255.634943354307
Finished iteration 4600, profit = 9286.091117826933
Finished iteration 4700, profit = 9308.315461721788
Finished iteration 4800, profit = 9326.78427879771
Finished iteration 4900, profit = 9335.463804570601
Finished iteration 5000, profit = 9346.682157978063
Finished iteration 5100, profit = 9361.030838376193
Finished iteration 5200, profit = 9390.272607789868
Finished iteration 5300, profit = 9407.584388124968
Finished iteration 5400, profit = 9426.982290256794
Finished iteration 5500, profit = 9431.553063706338
Finished iteration 5600, profit = 9437.186409966216
Finished iteration 5700, profit = 9440.380114649186
Finished iteration 5800, profit = 9444.766729512854
Finished iteration 5900, profit = 9444.766729512854
Finished iteration 6000, profit = 9446.515427518316
Finished iteration 6100, profit = 9451.54405518968
Finished iteration 6200, profit = 9451.54405518968
Finished iteration 6300, profit = 9451.54405518968
Finished iteration 6400, profit = 9457.16608428779
Finished iteration 6500, profit = 9457.16608428779
Finished iteration 6600, profit = 9457.16608428779
Finished iteration 6700, profit = 9460.472005087979
Finished iteration 6800, profit = 9462.58449032162
Finished iteration 6900, profit = 9465.728035426695
Finished iteration 7000, profit = 9467.862305157589
Finished iteration 7100, profit = 9467.862305157589
Finished iteration 7200, profit = 9471.265155748515
Finished iteration 7300, profit = 9476.320232977845
Finished iteration 7400, profit = 9476.320232977845
Finished iteration 7500, profit = 9483.25593308587
Finished iteration 7600, profit = 9486.383159474652
Finished iteration 7700, profit = 9489.76054905137
Finished iteration 7800, profit = 9491.8530804408
Finished iteration 7900, profit = 9494.99844793272
Finished iteration 8000, profit = 9494.99844793272
Finished iteration 8100, profit = 9494.99844793272
Finished iteration 8200, profit = 9499.524621677476
Finished iteration 8300, profit = 9499.524621677476
Finished iteration 8400, profit = 9499.524621677476
Finished iteration 8500, profit = 9499.524621677476
Finished iteration 8600, profit = 9501.791494699872
Finished iteration 8700, profit = 9507.34958462157
Finished iteration 8800, profit = 9507.34958462157
Finished iteration 8900, profit = 9510.495855183684
Finished iteration 9000, profit = 9512.558084507658
Finished iteration 9100, profit = 9512.558084507658
Finished iteration 9200, profit = 9512.558084507658
Finished iteration 9300, profit = 9514.779366692783
Finished iteration 9400, profit = 9514.779366692783
Finished iteration 9500, profit = 9514.779366692783
Finished iteration 9600, profit = 9514.779366692783
Finished iteration 9700, profit = 9514.779366692783
Finished iteration 9800, profit = 9514.779366692783
Finished iteration 9900, profit = 9514.999104220136
Finished iteration 0, profit = 4.520509117697224
Finished iteration 100, profit = 446.63459081348924
Finished iteration 200, profit = 764.4299796559333
Finished iteration 300, profit = 1059.0406469691163
Finished iteration 400, profit = 1412.293628232639
Finished iteration 500, profit = 1758.418753019621
Finished iteration 600, profit = 2104.510324355735
Finished iteration 700, profit = 2422.50607836582
Finished iteration 800, profit = 2758.1973338468433
Finished iteration 900, profit = 3060.572337191863
Finished iteration 1000, profit = 3367.3642629517517
Finished iteration 1100, profit = 3647.291049136981
Finished iteration 1200, profit = 4024.7286210237435
Finished iteration 1300, profit = 4343.617353766069
Finished iteration 1400, profit = 4693.121439920605
Finished iteration 1500, profit = 5051.612254167357
Finished iteration 1600, profit = 5388.7898487538805
Finished iteration 1700, profit = 5691.235011173571
Finished iteration 1800, profit = 5983.117942894398
Finished iteration 1900, profit = 6416.625497900404
Finished iteration 2000, profit = 6675.114244271441
Finished iteration 2100, profit = 6943.441316639663
Finished iteration 2200, profit = 7252.897503175653
Finished iteration 2300, profit = 7560.662797150401
Finished iteration 2400, profit = 7912.192009812321
Finished iteration 2500, profit = 8217.257270873984
Finished iteration 2600, profit = 8540.6883414639
Finished iteration 2700, profit = 8804.068487538694
Finished iteration 2800, profit = 9178.993828127315
Finished iteration 2900, profit = 9388.461269865671
Finished iteration 3000, profit = 9460.354699753882
Finished iteration 3100, profit = 9534.996217236847
Finished iteration 3200, profit = 9609.556022340692
Finished iteration 3300, profit = 9639.112501208836
Finished iteration 3400, profit = 9713.106560925975
Finished iteration 3500, profit = 9817.414111315893
Finished iteration 3600, profit = 9892.131785851481
Finished iteration 3700, profit = 9978.383344683856
Finished iteration 3800, profit = 10081.63401432627
Finished iteration 3900, profit = 10160.83496772941
Finished iteration 4000, profit = 10258.723596980279
Finished iteration 4100, profit = 10329.809186750837
Finished iteration 4200, profit = 10410.499222527964
Finished iteration 4300, profit = 10491.003295021497
Finished iteration 4400, profit = 10529.245419591227
Finished iteration 4500, profit = 10610.541114392447
Finished iteration 4600, profit = 10641.49707312466
Finished iteration 4700, profit = 10664.489416929271
Finished iteration 4800, profit = 10703.967584716582
Finished iteration 4900, profit = 10722.434905345926
Finished iteration 5000, profit = 10742.240178236552
Finished iteration 5100, profit = 10764.944893102285
Finished iteration 5200, profit = 10784.24235162183
Finished iteration 5300, profit = 10794.007198340902
Finished iteration 5400, profit = 10818.216919200237
Finished iteration 5500, profit = 10829.074530322028
Finished iteration 5600, profit = 10833.063836522724
Finished iteration 5700, profit = 10844.915049638676
Finished iteration 5800, profit = 10847.431335992342
Finished iteration 5900, profit = 10855.311393957225
Finished iteration 6000, profit = 10855.311393957225
Finished iteration 6100, profit = 10860.415833403478
Finished iteration 6200, profit = 10860.415833403478
Finished iteration 6300, profit = 10860.415833403478
Finished iteration 6400, profit = 10860.805548056493
Finished iteration 6500, profit = 10860.805548056493
Finished iteration 6600, profit = 10875.980003403634
Finished iteration 6700, profit = 10875.980003403634
Finished iteration 6800, profit = 10883.71285524781
Finished iteration 6900, profit = 10883.71285524781
Finished iteration 7000, profit = 10890.343280946263
Finished iteration 7100, profit = 10890.343280946263
Finished iteration 7200, profit = 10894.041311515568
Finished iteration 7300, profit = 10894.041311515568
Finished iteration 7400, profit = 10894.041311515568
Finished iteration 7500, profit = 10894.041311515568
Finished iteration 7600, profit = 10900.640256252138
Finished iteration 7700, profit = 10904.322101419111
Finished iteration 7800, profit = 10904.322101419111
Finished iteration 7900, profit = 10909.252752981189
Finished iteration 8000, profit = 10911.692460820324
Finished iteration 8100, profit = 10927.206333342167
Finished iteration 8200, profit = 10938.259860806043
Finished iteration 8300, profit = 10939.500729964573
Finished iteration 8400, profit = 10939.57412007491
Finished iteration 8500, profit = 10945.83972255684
Finished iteration 8600, profit = 10948.827263243682
Finished iteration 8700, profit = 10950.383610632201
Finished iteration 8800, profit = 10954.157657203275
Finished iteration 8900, profit = 10954.157657203275
Finished iteration 9000, profit = 10954.157657203275
Finished iteration 9100, profit = 10954.157657203275
Finished iteration 9200, profit = 10954.157657203275
Finished iteration 9300, profit = 10961.75040878505
Finished iteration 9400, profit = 10961.75040878505
Finished iteration 9500, profit = 10963.04980025468
Finished iteration 9600, profit = 10966.113263965726
Finished iteration 9700, profit = 10973.677624776432
Finished iteration 9800, profit = 10977.510018307083
Finished iteration 9900, profit = 10985.586534303005
Finished iteration 0, profit = 7.430744356017183
Finished iteration 100, profit = 460.25899918077954
Finished iteration 200, profit = 821.2903223807393
Finished iteration 300, profit = 1172.1530475213167
Finished iteration 400, profit = 1461.3732684842093
Finished iteration 500, profit = 1740.5566090837876
Finished iteration 600, profit = 2058.735941195597
Finished iteration 700, profit = 2398.298348094175
Finished iteration 800, profit = 2748.5913000124974
Finished iteration 900, profit = 3057.912151109087
Finished iteration 1000, profit = 3402.0114941015318
Finished iteration 1100, profit = 3700.673449477079
Finished iteration 1200, profit = 4022.687613279464
Finished iteration 1300, profit = 4364.720169463492
Finished iteration 1400, profit = 4699.081432236511
Finished iteration 1500, profit = 5011.2999407266325
Finished iteration 1600, profit = 5344.911923002581
Finished iteration 1700, profit = 5700.245502465
Finished iteration 1800, profit = 6033.550092162925
Finished iteration 1900, profit = 6383.190991533355
Finished iteration 2000, profit = 6704.010511866251
Finished iteration 2100, profit = 7058.464795135316
Finished iteration 2200, profit = 7395.977291755573
Finished iteration 2300, profit = 7682.967930594497
Finished iteration 2400, profit = 8002.083424238424
Finished iteration 2500, profit = 8242.555687823375
Finished iteration 2600, profit = 8309.193417064995
Finished iteration 2700, profit = 8343.889280401909
Finished iteration 2800, profit = 8394.027767039526
Finished iteration 2900, profit = 8440.61097428226
Finished iteration 3000, profit = 8484.646405266516
Finished iteration 3100, profit = 8548.193572261673
Finished iteration 3200, profit = 8614.929933236403
Finished iteration 3300, profit = 8653.345103186835
Finished iteration 3400, profit = 8719.942997452028
Finished iteration 3500, profit = 8770.487585190218
Finished iteration 3600, profit = 8817.127915179195
Finished iteration 3700, profit = 8916.141535154376
Finished iteration 3800, profit = 9004.585023072043
Finished iteration 3900, profit = 9098.026226321377
Finished iteration 4000, profit = 9151.276584954368
Finished iteration 4100, profit = 9214.243323518649
Finished iteration 4200, profit = 9239.881770777654
Finished iteration 4300, profit = 9286.208118325801
Finished iteration 4400, profit = 9321.93689367173
Finished iteration 4500, profit = 9368.880247476689
Finished iteration 4600, profit = 9415.220580262312
Finished iteration 4700, profit = 9448.74180952816
Finished iteration 4800, profit = 9493.5244107621
Finished iteration 4900, profit = 9550.688132310937
Finished iteration 5000, profit = 9567.104611763447
Finished iteration 5100, profit = 9581.548529300995
Finished iteration 5200, profit = 9587.690394998848
Finished iteration 5300, profit = 9595.302298943538
Finished iteration 5400, profit = 9609.125558505773
Finished iteration 5500, profit = 9619.128616167993
Finished iteration 5600, profit = 9625.566792270862
Finished iteration 5700, profit = 9628.195422594512
Finished iteration 5800, profit = 9628.195422594512
Finished iteration 5900, profit = 9639.880010959056
Finished iteration 6000, profit = 9642.755498257317
Finished iteration 6100, profit = 9649.169430881515
Finished iteration 6200, profit = 9651.670844095443
Finished iteration 6300, profit = 9660.716530235819
Finished iteration 6400, profit = 9665.940148302992
Finished iteration 6500, profit = 9666.17477244981
Finished iteration 6600, profit = 9669.985286348423
Finished iteration 6700, profit = 9692.694656074404
Finished iteration 6800, profit = 9695.610576948036
Finished iteration 6900, profit = 9701.809478140112
Finished iteration 7000, profit = 9718.202941902462
Finished iteration 7100, profit = 9722.367939041218
Finished iteration 7200, profit = 9732.817569202583
Finished iteration 7300, profit = 9742.038050136107
Finished iteration 7400, profit = 9761.594048866002
Finished iteration 7500, profit = 9772.83736273264
Finished iteration 7600, profit = 9777.812487233512
Finished iteration 7700, profit = 9794.468142778514
Finished iteration 7800, profit = 9795.631257038536
Finished iteration 7900, profit = 9804.65547911424
Finished iteration 8000, profit = 9812.091461682496
Finished iteration 8100, profit = 9820.692683359655
Finished iteration 8200, profit = 9834.751606425267
Finished iteration 8300, profit = 9838.443076538388
Finished iteration 8400, profit = 9856.294047886036
Finished iteration 8500, profit = 9869.615903296282
Finished iteration 8600, profit = 9894.788113464514
Finished iteration 8700, profit = 9901.141081717698
Finished iteration 8800, profit = 9910.37047849813
Finished iteration 8900, profit = 9929.553134329799
Finished iteration 9000, profit = 9942.065710653398
Finished iteration 9100, profit = 9955.83794540619
Finished iteration 9200, profit = 9971.043090703104
Finished iteration 9300, profit = 9995.102155849632
Finished iteration 9400, profit = 10000.08103889965
Finished iteration 9500, profit = 10005.105726881939
Finished iteration 9600, profit = 10009.206215802327
Finished iteration 9700, profit = 10025.30789780513
Finished iteration 9800, profit = 10031.642170013864
Finished iteration 9900, profit = 10044.07897066154
Finished iteration 0, profit = 4.857605046871331
Finished iteration 100, profit = 451.25555107709636
Finished iteration 200, profit = 831.3824776139594
Finished iteration 300, profit = 1191.7109439335327
Finished iteration 400, profit = 1533.9391026942435
Finished iteration 500, profit = 1831.117133001453
Finished iteration 600, profit = 2214.8439990777324
Finished iteration 700, profit = 2498.296929599143
Finished iteration 800, profit = 2896.669793578946
Finished iteration 900, profit = 3197.8750025524346
Finished iteration 1000, profit = 3464.5132752080976
Finished iteration 1100, profit = 3764.2603389556753
Finished iteration 1200, profit = 4054.9341167328116
Finished iteration 1300, profit = 4338.645000980472
Finished iteration 1400, profit = 4612.0929044989225
Finished iteration 1500, profit = 4907.9263319453585
Finished iteration 1600, profit = 5234.704241920421
Finished iteration 1700, profit = 5549.701019708596
Finished iteration 1800, profit = 5862.141765194863
Finished iteration 1900, profit = 6174.952498366181
Finished iteration 2000, profit = 6506.46550777419
Finished iteration 2100, profit = 6823.413354752998
Finished iteration 2200, profit = 7124.235488202404
Finished iteration 2300, profit = 7401.2990230120995
Finished iteration 2400, profit = 7727.889791819582
Finished iteration 2500, profit = 8036.3054614878965
Finished iteration 2600, profit = 8349.07896025698
Finished iteration 2700, profit = 8677.778030159367
Finished iteration 2800, profit = 9028.925715853085
Finished iteration 2900, profit = 9410.311060094527
Finished iteration 3000, profit = 9781.747602518939
Finished iteration 3100, profit = 9907.3666155559
Finished iteration 3200, profit = 9968.945322228774
Finished iteration 3300, profit = 10087.016178190333
Finished iteration 3400, profit = 10113.384107358837
Finished iteration 3500, profit = 10129.09734148594
Finished iteration 3600, profit = 10145.051731919468
Finished iteration 3700, profit = 10185.492930080636
Finished iteration 3800, profit = 10219.153827464546
Finished iteration 3900, profit = 10233.989833845515
Finished iteration 4000, profit = 10262.598364604139
Finished iteration 4100, profit = 10293.388839270277
Finished iteration 4200, profit = 10318.871421763368
Finished iteration 4300, profit = 10348.186490927188
Finished iteration 4400, profit = 10363.528671551154
Finished iteration 4500, profit = 10366.018465482015
Finished iteration 4600, profit = 10368.6130067693
Finished iteration 4700, profit = 10386.169672943393
Finished iteration 4800, profit = 10388.4655860807
Finished iteration 4900, profit = 10401.454777566323
Finished iteration 5000, profit = 10406.022348607665
Finished iteration 5100, profit = 10412.459773743933
Finished iteration 5200, profit = 10421.906389839136
Finished iteration 5300, profit = 10433.383995330012
Finished iteration 5400, profit = 10433.383995330012
Finished iteration 5500, profit = 10433.383995330012
Finished iteration 5600, profit = 10433.383995330012
Finished iteration 5700, profit = 10433.383995330012
Finished iteration 5800, profit = 10433.383995330012
Finished iteration 5900, profit = 10433.383995330012
Finished iteration 6000, profit = 10433.383995330012
Finished iteration 6100, profit = 10433.383995330012
Finished iteration 6200, profit = 10435.00653493395
Finished iteration 6300, profit = 10435.00653493395
Finished iteration 6400, profit = 10435.00653493395
Finished iteration 6500, profit = 10437.577053541025
Finished iteration 6600, profit = 10437.577053541025
Finished iteration 6700, profit = 10437.577053541025
Finished iteration 6800, profit = 10440.226680708318
Finished iteration 6900, profit = 10440.226680708318
Finished iteration 7000, profit = 10440.226680708318
Finished iteration 7100, profit = 10440.226680708318
Finished iteration 7200, profit = 10440.226680708318
Finished iteration 7300, profit = 10440.226680708318
Finished iteration 7400, profit = 10440.226680708318
Finished iteration 7500, profit = 10442.979899599155
Finished iteration 7600, profit = 10442.979899599155
Finished iteration 7700, profit = 10442.979899599155
Finished iteration 7800, profit = 10445.777187627104
Finished iteration 7900, profit = 10445.777187627104
Finished iteration 8000, profit = 10445.777187627104
Finished iteration 8100, profit = 10445.777187627104
Finished iteration 8200, profit = 10445.777187627104
Finished iteration 8300, profit = 10445.777187627104
Finished iteration 8400, profit = 10448.540288402692
Finished iteration 8500, profit = 10450.10204868833
Finished iteration 8600, profit = 10450.10204868833
Finished iteration 8700, profit = 10450.10204868833
Finished iteration 8800, profit = 10450.10204868833
Finished iteration 8900, profit = 10450.10204868833
Finished iteration 9000, profit = 10450.10204868833
Finished iteration 9100, profit = 10450.10204868833
Finished iteration 9200, profit = 10451.455423551186
Finished iteration 9300, profit = 10451.455423551186
Finished iteration 9400, profit = 10451.455423551186
Finished iteration 9500, profit = 10451.455423551186
Finished iteration 9600, profit = 10451.455423551186
Finished iteration 9700, profit = 10451.455423551186
Finished iteration 9800, profit = 10451.455423551186
Finished iteration 9900, profit = 10454.347349333993

 The simple and fast SGD-based learning algorithm with SGD approximation of dual price 
 achieves 79.98% of the offline revenue

 Convergence of the dual price vector to the true dual price vector see fugures.

 Note that this algorithm, despite achieving lower profit, doesn't require the solving of
 LPs. Thus, its runtime does not explode as the dimension of the LP increase. Observing the profit 
 convergence, we see that this algorithm tends to drain the resources faster towards the beginning,  
 causing the peak and the subsequent drop in the profit.

 The approximated dual price vector exhibites desirable convergence to the true price. The  
 more aggressive weighted updating step-size causes the dual price to oscillate more  
 as the number of iteration increases.
